,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.111,0.039,0.01,0.629,0.033,62,0.111,0.405
10%,0.204,0.081,0.009,0.565,0.044,81,0.204,0.563
15%,0.292,0.122,0.009,0.508,0.052,141,0.292,0.661
20%,0.388,0.163,0.008,0.449,0.06,117,0.388,0.72
25%,0.477,0.204,0.007,0.398,0.066,127,0.455,0.776
30%,0.557,0.245,0.006,0.361,0.069,189,0.464,0.817
35%,0.622,0.287,0.005,0.333,0.072,215,0.449,0.846
40%,0.686,0.329,0.005,0.323,0.073,236,0.439,0.865
45%,0.737,0.37,0.004,0.322,0.074,302,0.427,0.889
50%,0.786,0.413,0.004,0.331,0.073,264,0.387,0.906
