,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.097,0.017,0.01,0.639,0.058,21,0.097,0.384
10%,0.192,0.034,0.009,0.573,0.083,21,0.192,0.544
15%,0.286,0.051,0.008,0.508,0.105,27,0.286,0.634
20%,0.384,0.069,0.007,0.443,0.118,29,0.384,0.7
25%,0.472,0.086,0.006,0.38,0.136,24,0.472,0.748
30%,0.558,0.104,0.005,0.33,0.143,36,0.55,0.793
35%,0.628,0.122,0.005,0.29,0.147,53,0.617,0.82
40%,0.691,0.139,0.004,0.257,0.152,33,0.664,0.844
45%,0.736,0.157,0.004,0.236,0.15,41,0.675,0.861
50%,0.781,0.175,0.003,0.223,0.149,26,0.655,0.883
